"sra_id","marine surface","hot spring","human ear","human vagina","other water","built environment","chemical vessel","human","microbial mat","human blood","human respiratory","marine","sludge","saltern","human eye","mine","human wound","rock","food","soil","human gut","human urogenital","marine coastal","biofilm","marine deep","sand","mine drainage","clay","contaminated water","marine benthic","human liver","human bone","human skin","sediment","fresh water","plant","spring","fungus","biogas material","animal","waste water","bone","oil","mud","hypersaline lake","solid environmental material","air","human brain","coal mine","percent_unique_kmer","percent_16S","percent_phage","percent_Prokaryote","percent_human","source"
"SRR2026980","0","0.274254205879","0","0","2.762096478624","0","6.09655503725","29.44367939204","0","0","9.410952479415","4.70429231223","0","4.44300418035","0","0","0.14259793843","0","0.148032832931","9.648409952133001","29.3501320245","0.0643291249815","0","0","0","0","0","0","0","0.0465473225675","0","0","0","0","0","3.099131578807","0.365985139807","0","0","0","0","0","0","0","0","0","0","0","0","57.6301548","10.23","0.03","37.91","0.03","human skin"
"SRR1950737","0","0.18207136865009999","0","0","3.7898150243888","0","0","31.591272501610998","0","1.2919960557555","2.0154345512","18.753429683255703","0","0","0","0","0","0","0.1608599648128","1.1756722691245","1.54289951245939","0.12041262274129999","0","0","0","0","0","0","0","0.0426380665917","0","0","18.58678567678","1.234580655836","0.46190930475909997","0.66811583551205","0","0","0","15.2652275417618","0.013999222205979999","0","0.714207454938","1.187621014785","0","0","0.255196721882","0.94585495095","0","61.6689356","0.14","0.02","59.7","0.01","human skin"
"SRR2005712","0","2.23219476721065","0","2.9012986831269","3.3145295282264","5.1567725977135","0","6.41304666654898","0","2.2640982838198","9.1875475108097","9.6097235618444","0.6230341901737","0.135216261149","0.449680067958","0","0","0","1.7069740455801998","6.20602638255527","3.1840567738037917","15.392820172268278","0","0","0","0","0","0","0","0.2236447071871","0","0","0.00747728236328","1.17886708244299","2.1081941064689","4.6763129711527895","0","0","0","11.03455364250823","3.413735671315","1.67205034059","0.358902424058","0","0","0.99297392509","0.0804612906188","5.47580706341","0","71.25883","0.31","0.08","23.17","0.00","human skin"
"SRR1647425","0","0.0788826715947","0","0","0","0","0","21.4672467898","0","0","0.361615888005","0","0","1.60699594187","0","0","0","0","0.238346392662","15.83429940777","45.0450473310277","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.696483237782","0","0","0","6.11989939154149","0","0","0","8.55118294785","0","0","0","0","0","68.2094537","0.06","0.09","4.06","0.00","human skin"
"SRR1647270","0","7.2723049993719995","0","0","12.736774283682","0","0","0.154887294906","0","0.864889434423","0.0210676372358","7.485091021230001","5.48088231601","0","0","0","0","0","0.180601481215","2.3904774641907003","2.3786649583696997","10.0724475497","0","0","0","0","0","0","0","0.231094823306","0","0","0.564792905749","18.17050156359","0","0.142785399995","0","0","0","15.6414353269497","0","0","5.09424521159","11.117056328531001","0","0","0","0","0","91.5310058","0.03","0.01","10.4","0.03","human skin"
"SRR1647610","0","0.699894298367","0","7.2859141557943","5.825981806504499","0","5.12010436221","0","0","0.3598806316566","0.9897771099616","8.5267655397659","3.429720942656","0","0","0","0.238672105077","0","0.20257004440089998","22.8263675814434","9.893642009977","2.4555986311211","6.140028587504","0","0","0","0","0","0","0","0","0","0","2.58468856859","3.945127813119","4.1468096820447","0","0","0","5.629228969325481","6.2567361298","0","0","0","0","3.4424910306739998","0","0","0","85.5532358","0.09","0.02","14.34","0.00","human skin"
"SRR1950712","0","0.320920192361","0","0","10.166364656097","0","0","16.104039407068896","0","0.174378639839","3.1987352421289996","19.449292064993","0.178679813145","0","0","0","0","0","0","2.6567623587530003","3.8603772529392","0.373866842226","0","0","0","0","0","0","0","0.0370302135869","0","0","0.369109587011","6.480719488718","0","0.738631973155","0","0","0","24.846053725318","0","0","3.31498416375","5.57839654994","0","0","0.629884953962","1.52177287496","0","83.588747","0.07","0.13","18.15","0.01","human skin"
"SRR1647039","0","2.0815122162234","0","0","4.4717949275210005","0","2.888092766729","10.188231715037","0","0","1.19202382835","8.657293239837","0","6.6665213631","0","0","0","0","0.00416145720196","3.5385431752743","25.5866067486349","0","0","0","0","0","0","0","0","0.216049791604","0","0","18.6130532165","0.33135195348400004","0","0.126729648824","0","0","0","11.344619817924999","0.151611501801","0","3.5436584650457","0.197692440569","0.200451726312","0","0","0","0","66.9398928","0.22","0.29","43.88","0.16","human skin"
"SRR1950718","0","1.82451766018","0","0.378469914226","8.563898151865","0","0","9.118569129322301","0","0.201970218052","0.6820418642020399","20.840812333175002","1.61290965055","0","0","0","0","0","0.113334888178","6.239503670914","8.773027345425298","0.0112311401596","0","0","0","0","0","0","0","0.0236789261212","0","0","0.186546524059","8.635719425466","0.0333001099514","0.6604989404881001","0","0","0","25.5120958117435","0","0","3.16599457857","2.4724468209949997","0","0.1423579222596","0.807074974116","0","0","84.5693064","0.06","0.03","12.25","0.01","human skin"
"SRR1647216","0","6.247402845389","0","0","5.114549272704","0","0","1.705552354249","0","0","0.0674891817654","3.15068299117","5.1043084097","17.8078584201","0","0","0","0","0","1.56315174577","26.716162368543298","0.0215998313342","0","0","0","0","0","0","0","0","0","0","0","1.92604013473","0","0.7157031904023999","0","0","0","24.008941390815","0","0","5.85055786323","0","0","0","0","0","0","79.3604797","0.08","0.12","7.1","0.36","human skin"
